"","name","DistKM","fake","long","lat.x","lon","lat.y","CityGTD"
"405","ustamuhammad",0.519830663868038,1,68.05,28.18,68.04477,28.1792746,"ustamohammed"
"406","uthal",10.2560031877606,1,66.62,25.81,66.5223902,25.837675,"lasbela"
"407","vihari",1.52189142143346,1,72.34,30.05,72.352778,30.041944,"vehari"
"408","wana",2.84351072329346,1,69.57,32.3,69.5412455,32.2921879,"dabkot"
"409","warah",13.7740840222056,1,67.8,27.45,67.915103,27.3799987,"naseerabad"
"410","warburton",23.6173680206001,1,73.83,31.55,73.9850243,31.7166617,"sheikhupura"
"411","warburton",23.6173680206001,1,73.83,31.55,73.9850243,31.7166617,"sheikhurpura"
"412","warburton",23.6173680206001,1,73.83,31.55,73.9850243,31.7166617,"shiekhutar"
"413","warburton",23.6173680206001,1,73.83,31.55,73.9850243,31.7166617,"seikhupura"
"414","warburton",23.6173680206001,1,73.83,31.55,73.9850243,31.7166617,"sheikhpura"
"415","wazirabad",2.03561895930788,1,74.1,32.45,74.1169906,32.4386254,"wazirdand"
"416","yazman",23.9289783311494,1,71.75,29.14,71.6333329,28.95,"baradistrict"
"417","zafarwal",9.70470981744107,1,74.9,32.35,74.8525407,32.2723183,"mandar"
"418","zahirpir",36.0883811532391,1,70.51,28.82,70.3244659,29.1017686,"rajanpurdistrict"
"419","zaida",0.891181286091399,1,72.47,34.07,72.4605556,34.0716667,"shahmansur"
"420","zhob",31.3604897199083,1,69.44,31.35,69.55,31.616667,"safi"
"421","ziarat",21.3847967738204,1,67.73,30.39,67.7079491,30.1980478,"shahrag"
