"","lon","lat","CityGTD","fake"
"775",32.1434212,2.9970416,"pabbo",1
"777",-7.15189,54.91153,"claudy",1
"778",-6.33254,54.99904,"cloughmills",1
"779",-6.62022,54.64616,"coagh",1
"780",-6.81305,54.53111,"donaghmore",1
"784",32.633333,-18.966667,"umtali",1
"785",62.266621,33.63591,"adraskan",1
"786",69.8061328,33.9661546,"aryobzazi",1
"787",70.78821,34.2631487,"batikot",1
"789",68.6678026,35.7330359,"dahanaighuri",1
"790",70.0979491,34.9785593,"dawlatshah",1
"791",70.859562,34.0818733,"durbaba",1
"792",64.212898,31.132511,"garmser",1
"793",70.15,34.516667,"ghanikhel",1
"794",70.75,34.7,"ghaziabad",1
"795",69.7,33.233333,"hesarak",1
"796",68.416667,37,"kalazal",1
"797",71.3386437,35.4098732,"kamdesh",1
"799",69.871653,33.3066948,"mandozayi",1
"801",68.9539593,33.2453091,"matakhan",1
"802",69.8359154,34.9971359,"nijrab",1
"803",70.2884528,34.0740905,"pachirwaagam",1
"804",64.7636592,35.598206,"pashtunkot",1
"805",69.941634,33.821926,"patan",1
"806",64.4318916,35.5646007,"qaysar",1
"807",67.469147,33.939667,"sarab",1
"809",67.1713889,36.4661111,"sori",1
"810",69.7610607,34.5902804,"surobi",1
"811",71.0839469,34.1298683,"torkham",1
"813",4.669073,36.6942103,"adekar",1
"814",2.609444,36.603611,"aintagourait",1
"815",4.4240151,36.8895311,"azzefoun",1
"817",3.880556,36.862222,"benchoud",1
"818",1.583333,36.05,"benibouateb",1
"819",3.7205556,36.8777778,"capdjinet",1
"820",2.196667,36.61,"cherchell",1
"821",3.75,36.483333,"djebahia",1
"822",3.153889,36.565278,"larba",1
"823",3.683056,36.748889,"legata",1
"824",2.55,36.416667,"oueddjer",1
"825",4.05,36.716667,"ouzra",1
"826",-1.0143426,35.6039298,"sidibakhti",1
"827",-0.548611,34.593333,"sidichaib",1
"828",3.8583028,36.8556063,"sididaoud",1
"829",3.5863313,36.6904117,"soukelhad",1
"831",1.0547828,35.0640467,"tariqibnziyad",1
"832",4.7749158,36.6151583,"timezrit",1
"833",3.7760446,36.5888512,"tizighenif",1
"834",4.5793248,36.790224,"zekri",1
"835",45.366111,41.093333,"kazakh",1
"836",50.459722,26.211389,"banijamra",1
"837",50.624,26.285,"dair",1
"838",50.547778,26.173611,"isatown",1
"839",50.6,26.133333,"nuwaidrat",1
"840",89.4068138,24.0313053,"ataikula",1
"841",92.435696,21.8210961,"thanchi",1
"842",-68.4166667,-15.9833333,"quelluani",1
"844",29.12,-2.888611,"cibitokeprov",1
"845",-120.076197,55.555446,"tomslake",1
"846",18.7140639,8.246493,"sido",1
"847",-70.664167,-33.535,"lacisterna",1
"848",-70.55,-33.411667,"lascondes",1
"849",-70.641997,-33.4691199,"santaigo",1
"850",-71.5592603,-33.0265062,"vivadelmar",1
"851",114.057868,22.543099,"shenzen",1
"852",-71.852686,6.9062,"banadia",1
"853",-71.555267,6.4915649,"betoyes",1
"854",-74.33309,8.48342,"canolimon",1
"855",-73.8419063,0.869892,"caqueta",1
"856",-75.9376146,6.3958068,"elmango",1
"857",-74.80419,3.41392,"laesmeralda",1
"858",-73.087749,3.2719904,"meta",1
"859",-76.1348944,6.8072318,"montanita",1
"860",-72.9183724,8.6389528,"oru",1
"861",-71.9786626,12.2322387,"puertobolivar",1
"862",-76.604444,0.685,"puertocaicedo",1
"864",-74.0417628,4.5961285,"santafedebogota",1
"865",-74.4168381,3.8667531,"sumapaz",1
"866",-74.297333,4.570868,"u",1
"867",-75.0070792,2.9621877,"vegalarga",1
"877",-88.9856574,13.9891678,"azacualpa",1
"878",-88.3057061,13.8462374,"carolina",1
"879",-89.1112924,13.9018897,"cerrodeguazapa",1
"880",-88.6166667,13.8833333,"cerrogrande",1
"881",-88.9204311,14.1768739,"elcarrizal",1
"883",-90.0621414,13.8197445,"laceiba",1
"884",-89.0406306,13.4594741,"lasflores",1
"885",-89.1914287,13.7508401,"milingo",1
"886",-88.9497657,13.7600027,"montesanjuan",1
"887",-88.8270854,13.253613,"riolempa",1
"888",-88.0876336,13.6434243,"sancarlos",1
"889",-88.3008448,13.6637732,"sanjeronimo",1
"890",-88.899722,13.507222,"sanjuannonualco",1
"891",8.738635,41.919229,"ajaecio",1
"892",9.334552,41.734041,"conca",1
"893",9.130112,41.48734,"figari",1
"894",8.783941,41.94926,"fiumorbu",1
"895",9.4317,42.7142,"villedepietrabugno",1
"896",104.9196751,11.5812171,"x4",1
"897",23.753752,37.9059632,"argyroupolis",1
"898",23.7692328,37.9298588,"ilioupolis",1
"899",-90.230759,15.783471,"chupol",1
"900",-91.169533,15.52787,"sumal",1
"901",-90.9868468,14.7558344,"tecpan",1
"902",-91.0023857,15.8751649,"xalbal",1
"903",83.354895,21.5902451,"amarkot",1
"904",74.8722642,31.6339793,"amritsarcity",1
"905",79.7399875,15.9128998,"andhrapradeshs",1
"906",76.4693225,29.3109605,"assans",1
"907",83.2572913,18.9333383,"bandhugaon",1
"908",86.7642624,22.6320726,"belpahari",1
"909",90.27,26.4,"kokrajhard",1
"910",83.2800342,19.0213758,"kumbhariput",1
"911",94.0497462,24.8665864,"lamlai",1
"912",74.8243939,34.0262062,"nowgam",1
"913",82.5333,20.8167,"nuapada",1
"914",85.0985236,20.9516658,"orissa",1
"915",79.5577373,11.8146683,"rajapalayam",1
"916",74.8448648,33.090954,"reasi",1
"917",87.3190065,22.642257,"salbani",1
"918",74.7973681,34.0836581,"srinager",1
